listing_id,broker_name,broker_slug,broker_logo_url,title,location,region,practice_type,tenure,num_surgeries,asking_price,turnover,ebitda,uda_value,highlights,listing_url,image_url,is_featured,is_active,scraped_date,browse_status
de-001,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Huxley,London,London,Private,Freehold,2,£1699000,c£1117000,c£247000,,,https://dentalelite.co.uk/practices/london-dental-practice-for-sale-22/,,TRUE,TRUE,2026-05-20,
de-002,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Nashville,North London,London,Private,Freehold,3,£1350000,c£1.1m,c£182000,,,https://dentalelite.co.uk/practices/dental-practice-for-sale-56/,,FALSE,TRUE,2026-05-20,
de-003,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Cabin,Lincolnshire,East Midlands,NHS,Freehold,3,£2110000,c£951000,c£324000,,,https://dentalelite.co.uk/practices/lincolnshire-dental-practice-for-sale-3/,,FALSE,TRUE,2026-05-20,
de-004,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Tatum,East Sussex,South East,Private,Freehold,4,£1310000,c£941000,c£201000,,,https://dentalelite.co.uk/practices/east-sussex-dental-practice-for-sale/,,FALSE,TRUE,2026-05-20,
de-005,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Essent,Greater Manchester,North West,Mixed,Freehold,4,£930000,c£666000,c£125000,,,https://dentalelite.co.uk/practices/greater-manchester-dental-practice-for-sale-2/,,FALSE,TRUE,2026-05-20,
de-006,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Soren,Hertfordshire,East of England,Private,Leasehold,3,£840000,c£588000,c£232000,,,https://dentalelite.co.uk/practices/hertfordshire-dental-practice-for-sale-2/,,FALSE,TRUE,2026-05-20,
de-007,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Taylor,Sutton Coldfield,West Midlands,Mixed,Freehold,3,£695000,c£347000,c£172000,,,https://dentalelite.co.uk/practices/west-midlands-dental-practice-for-sale-7/,,FALSE,TRUE,2026-05-20,
de-008,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Delta,Berkshire,South East,Private,Leasehold,,£600000,c£488000,c£269000,,,https://dentalelite.co.uk/practices/dental-practice-for-sale-40/,,FALSE,TRUE,2026-05-20,
de-009,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Margin,Isle of Wight,South East,Private,Freehold,3,£520000,c£1.1m,c£100000,,,https://dentalelite.co.uk/practices/isle-of-wight-dental-practice-for-sale/,,FALSE,TRUE,2026-05-20,
de-010,Dental Elite,dental-elite,https://dental-practice-marketplace.netlify.app/logos/dental-elite.svg,Project Gliss,County Durham,North East,NHS,Leasehold,2,£439000,c£452000,c£110000,,,https://dentalelite.co.uk/practices/county-durham-dental-practice-for-sale/,,FALSE,TRUE,2026-05-20,
lh-13-308,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Two Surgery Specialist Practice,Sussex,South East,Private,Leasehold,2,£675000,£626352,£179039,,,https://www.dentalpracticesales.co.uk/dental-practices/sussex-13-308/,,FALSE,TRUE,2026-05-20,
lh-13-288,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Four Surgery Private Practice,Cheshire,North West,Private,Leasehold,4,£1200000,£914475,£258943,,,https://www.dentalpracticesales.co.uk/dental-practices/cheshire-13-288/,,FALSE,TRUE,2026-05-20,
lh-13-220,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Four Surgery Mixed Practice,Cardiff,Wales,Mixed,Freehold,4,£1175000,£1130390,£295936,,,https://www.dentalpracticesales.co.uk/dental-practices/cardiff-13-220/,,FALSE,TRUE,2026-05-20,
lh-13-279,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Three Surgery Private Practice,London,London,Private,Leasehold,3,£780000,£736937,£241310,,,https://www.dentalpracticesales.co.uk/dental-practices/london-13-279/,,FALSE,TRUE,2026-05-20,
lh-13-257,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Two Surgery Private Practice,Oxfordshire,South East,Private,Leasehold,2,£550000,£582911,£249399,,,https://www.dentalpracticesales.co.uk/dental-practices/oxfordshire-13-257/,,FALSE,TRUE,2026-05-20,
lh-12-528,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,One Surgery Private Practice,Durham,North East,Private,Leasehold,1,£325000,£305407,£155427,,,https://www.dentalpracticesales.co.uk/dental-practices/durham-12-528/,,FALSE,TRUE,2026-05-20,
lh-12-931,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Two Surgery Private Practice,London,London,Private,Leasehold,2,£680000,£447079,£227958,,,https://www.dentalpracticesales.co.uk/dental-practices/london-12-931/,,FALSE,TRUE,2026-05-20,
lh-12-762,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Two Surgery Private Practice,Dorset,South West,Private,Freehold,2,£750000,£590909,£223013,,,https://www.dentalpracticesales.co.uk/dental-practices/dorset-12-762/,,FALSE,TRUE,2026-05-20,
lh-13-242,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Four Surgery Private Practice,Hertfordshire,East of England,Private,Leasehold,4,£650000,£352688,£124170,,,https://www.dentalpracticesales.co.uk/dental-practices/hertfordshire-13-242/,,FALSE,TRUE,2026-05-20,
lh-13-245,Lily Head,lily-head,https://dental-practice-marketplace.netlify.app/logos/lily-head.svg,Three Surgery Mixed Practice,Lancashire,North West,Mixed,Freehold,3,£725000,£558036,£222035,,,https://www.dentalpracticesales.co.uk/dental-practices/lancashire-13-245/,,FALSE,TRUE,2026-05-20,
pfm-228-53,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,3-Surgery Mixed Practice,North Yorkshire,Yorkshire,Mixed,Leasehold,3,£100000,£255239,,,,https://pfmdental.co.uk/practice/228-53/,,FALSE,TRUE,2026-05-20,
pfm-222-67,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,5-Surgery Mixed Practice,Lancashire,North West,Mixed,,5,£1206000,£998384,£327156,,,https://pfmdental.co.uk/practice/222-67/,,FALSE,TRUE,2026-05-20,
pfm-207-11,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,9-Surgery NHS Practice,Teesside,North East,NHS,Leasehold,9,£1830000,£1515500,£418466,,,https://pfmdental.co.uk/practice/207-11/,,FALSE,TRUE,2026-05-20,
pfm-209-27,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,6-Surgery Mixed Practice,County Durham,North East,Mixed,Leasehold,6,£915000,£1270566,£240816,,,https://pfmdental.co.uk/practice/209-27/,,FALSE,TRUE,2026-05-20,
pfm-236-37,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,6-Surgery NHS Practice,South Yorkshire,Yorkshire,NHS,Leasehold,6,£775000,£864781,£197694,,,https://pfmdental.co.uk/practice/236-37/,,FALSE,TRUE,2026-05-20,
pfm-228-52,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,3-Surgery Private Practice,North Yorkshire,Yorkshire,Private,Leasehold,3,£435000,£664437,£145207,,,https://pfmdental.co.uk/practice/228-52/,,FALSE,TRUE,2026-05-20,
pfm-230-13,PFM Dental,pfm-dental,https://dental-practice-marketplace.netlify.app/logos/pfm-dental.svg,1-Surgery NHS Practice,Nottinghamshire,East Midlands,NHS,Leasehold,1,£480000,£354272,£141280,,,https://pfmdental.co.uk/practice/230-13/,,FALSE,TRUE,2026-05-20,
